image_name,label,location,explanation
001858037f7846a79c619fda3d915e75.jpg,0,"{""size"": [7016, 4961], ""counts"": ""XcVVQ1""}","这是一份伪造的马来西亚“Triple Six Point Enterprise”便利店收据，其中关键篡改区域位于坐标 [334, 192, 383, 201]，内容为“Cash”。该区域的字体风格与收据其他部分存在明显差异，笔画更粗、边缘更锐利，且字符间距异常紧凑，不符合原始打印的自然排版规律；其墨色饱和度与周围文字不一致，呈现出数字编辑后常见的“粘贴感”；该区域背景异常干净，缺乏收据纸张应有的细微噪点和纹理，符合“擦除-粘贴”式篡改的典型特征。收据中“Payment Type”字段被篡改为“Cash”，但“Tendered”金额为160.00，而“Total Amount”为318.53，两者差额为158.53，与“Change”栏显示的5663严重不符，违反了基本的交易逻辑。综上所述，该收据系人为伪造，不具备真实性与可信度。"
00b58544455f44c6af157f57cefa51bd.jpg,0,"{""size"": [768, 1024], ""counts"": ""PPPh0""}","这是一份伪造的亚特兰大勇士队主场“可口可乐球场”内部照片，画面中包含多个知名品牌广告牌，如“DELTA”、“AutoTrader”、“NAPA”和“Bud Light”。图像中存在多处关键篡改区域，其坐标与内容分别为：[264, 161, 315, 184] 处的“Mec”标志、[321, 161, 377, 184] 处的“Drill”标志、[382, 161, 436, 184] 处的“ne”标志、[443, 161, 483, 184] 处的“here”标志、[292, 187, 347, 204] 处的“Mec”标志、[350, 187, 397, 204] 处的“Drill”标志、[400, 187, 443, 204] 处的“ne”标志、[446, 187, 486, 204] 处的“here”标志、[317, 211, 375, 226] 处的“Mec”标志、[378, 211, 431, 226] 处的“Drill”标志、[433, 211, 473, 226] 处的“ne”标志、[476, 211, 516, 226] 处的"
018bdc554e264a13845c91853b890a7d.jpg,1,"{""size"": [2287, 705], ""counts"": ""i\\im09TW28G6J303K5L4M0N5M3L4M9G3M2N1O002N001O001O1O0010O001O001O0000000000000000001O001O001O00001O002N001O1O001O00000000O100O1O100N3N101M201N10000000O100O10O010N2M3N200O11O0O3N0N5M3J3M6D?XOY_V3H[aiL601L301L3M300O100001OO100O100O100N200O100N200O100001O001O[SNROib1n0T]NXOjb1g0T]N]Ojb1c0U]N^Okb1b0U]N_Ojb1a0U]N@kb1`0V]N_Ojb1a0V]N_Ojb1a0Y]N\\Ogb1d0Y]N\\Ogb1d0Z]N\\Oeb1d0[]N\\Oeb1d0\\]N\\Odb1c0\\]N]Odb1c0[]N_Oeb1`0[]N@fb1?Y]NBgb1=Z]NCgb1<V]NGjb18T]NKnb13R]NMQc10m\\N3Uc1Jj\\N7Vc1Ij\\N8Wc1Gf\\N;Zc1Ef\\N<Zc1Dd\\N=\\c1Be\\N>[c1Be\\N>[c1Af\\N?Yc1Bg\\N>Yc1Bg\\N>Wc1Di\\N<Qc1Jo\\N6nb1MR]N3nb1MR]N4lb1MT]N3mb1LS]N5lb1KT]N5lb1KT]N6kb1JU]N6kb1JU]N6kb1JT]N7lb1IT]N7lb1IS]N8mb1HS]N8nb1GQ]N:ob1FQ]N:Qc1Do\\N<Qc1Do\\N<Tc1@n\\N?Rc1An\\N?Uc1\\On\\Nc0Rc1]On\\Nb0Vc1XOm\\Nh0Sc1XOm\\Nf0Xc1TOk\\Nl0Uc1QOo\\Nm0jl1N3O0O3L201N3N6HlnV3""}","这是一份伪造的马来西亚“Segi Cash & Carry Sdn. Bhd.”超市收据，其中关键金额数据被篡改。篡改区域位于坐标 [631, 736, 743, 760]，内容为“145.10”。该篡改区域在视觉上与原始收据存在明显差异：篡改数字“145.10”的字体风格、笔画粗细和墨色饱和度与收据上其他原始打印数字（如“145.09”和“784.52”）不一致；篡改区域的背景纹理异常平滑，缺乏原始纸张应有的纤维质感和噪点，呈现出典型的“擦除-粘贴”式伪造痕迹；篡改数字的边缘过于锐利，与周围纸张的自然模糊感不符，且数字内部存在轻微的像素化伪影，表明其可能经过多次编辑或压缩。在逻辑层面，收据中“Subtotal Incl. GST”为145.09，加上“Rounding”0.01后，“Total Incl. GST”应为145.10，这一计算结果与篡改后的“Total Incl. GST”145.10一致，但“Total Incl. GST”145.10与“Master”金额784.52之间存在巨大的、无法解释的数值差异，严重违反了基本的财务常识。综上所述，该收据系人为伪造，篡改者可能意图通过修改总金额来掩盖真实的交易规模或进行欺诈活动。"
01fd2f3d9c25442888c04a2ddc01c2be.png,0,"{""size"": [512, 512], ""counts"": ""PPP8""}","这是一份伪造的街景照片，展示了一只德国牧羊犬站在一家名为“COSAULDALING”的商店前。图像中存在两处关键篡改区域：商店招牌文字“COSAULDALING”位于坐标 [257, 105, 557, 153]，其字母形态扭曲、笔画粗细不均，缺乏商业标识应有的规范性；玻璃橱窗上的文字位于坐标 [825, 270, 955, 340]，内容为“JOX”及下方模糊文字，字体风格与招牌不一致，且“JOX”作为品牌标识过于简短，不符合商业惯例。这些篡改区域在视觉上表现出明显异常：招牌文字边缘模糊，与背景融合生硬，缺乏真实招牌应有的清晰轮廓；橱窗文字与玻璃表面的反射、光影交互不自然，仿佛浮于表面；整体光照和色彩过渡不连贯，篡改区域显得异常平滑，缺少真实材质应有的纹理细节。从常识判断，“COSAULDALING”并非已知的商业品牌或地名，而“JOX”作为橱窗标识过于简短，不符合商业标识的常规做法，且两者风格迥异，暗示它们可能来自不同来源或被后期拼接。综上所述，该图像系人为合成，不具备作为真实场景记录的可信度。"
0215e50a97624e7b833fe994b7b8acf0.jpg,1,"{""size"": [480, 640], ""counts"": ""Xob07_>=L2N101N101O000000000000000000000000001O001O000000000000000000000000000000000000000000000000000000000000000O100000000O1aBVOi<i0RC@j<`0RCEl<<SCEm<;RCGn<8oBKQ=6nBKQ=5nBLR=Q100000001O000000000001O00001O000000000000000000000000001O0000000000000000000000000POlB4U=KkB5U=JmB5S=KmB5S=LkB5U=KkB5U=k0000000010mNkB9U=GkB9V=ElB:T=FlB:U=DlB<T=BoB=R=AoB?R=^OPCb0g=0000000000000000000000000000000000000000000000000000000000000000000001O0000001O000000000000000000000000000000000000000000000000000001O00000000000^JWOmLi0R3]OiLc0V3AgL?Y3BfL>Y3DfL<Z3DfL<Y3FfL:Z3FfL:Z3FfL9[3GeL9[3GeL9[3GeL9[3GeL9[3GeL9[3GeL9[3GeL9[3GeL9[3GeL9[3HdL8\\3HeL7[3IeL7[3IeL6\\3JeL5[3KeL4\\3LeL3[3MeL1^3NcL1]3OdLN^32g510000000000000000001O0000000000000000001O00000000001O001N101O000O10O10001O0O1000001O01N101N3Nj]86oaG2O0O2O001N10000000000000000000000000000000000000000000000000000001O0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001OO10000000000000000000000000000000000001O000O101N101N102L7HdZk2""}",这是一份伪造的英国高速公路方向指示牌图像，其中包含多处篡改文字，如“Hint Backup”、“worked”等，这些文字在字体、颜色和排版上与原始交通标志的官方风格严重不符，且“worked”一词在交通指示语境中毫无意义。图像中存在多处视觉异常：篡改文字边缘过于锐利，缺乏真实拍摄中应有的光学模糊和像素过渡；文字颜色过于均匀，未体现环境光照下的自然变化；篡改区域背景异常平滑，缺失原始图像中应有的纹理和噪点，呈现出典型的“擦除-粘贴”痕迹；此外，篡改文字与背景交界处存在不自然的锐利边缘，缺乏真实图像应有的融合过渡。从常识判断，交通标志必须遵循严格的设计规范和官方标准，而图中混入的非官方词汇和随意排版严重违反了这一基本原则，且“worked”一词在交通指示中毫无逻辑可言，进一步证实其为人为添加。综上所述，该图像系通过数字手段伪造，不具备真实性。
02b51b6e83dc4a058fef1fa56047e135.jpg,0,"{""size"": [1150, 720], ""counts"": ""PcXi0""}",这是一份真实拍摄的广州市海珠区某建筑外墙上的多块标识牌照片，未发现数字伪造或后期篡改的痕迹。所有文字区域边缘自然，与背景墙面的大理石纹理融合平滑，无拼接或重复纹理；文字亮度、对比度及阴影方向与环境光照一致，符合单次拍摄的物理规律；各标识牌上的文字在字体风格、排版结构及印刷工艺上均保持内部统一，未见不协调之处；所列机构名称如“海珠区团校海幢分教点”“广州与浪美术工艺有限公司”等符合中国行政区划与企业命名规范，内容合理。综合分析，该图像真实记录了实际场景。
02d06d2781494ac1860145d46570860a.png,1,"{""size"": [512, 512], ""counts"": ""R]?4i?7J6K2O1N101O10O010O010O00010O010O000010O010O010O010O010O010O010O010O01O010O01O00010O010O0001O010O000010O01O002M2O2L3N[bb6""}","这是一份伪造的蓝色经典敞篷跑车停在棕榈树环绕的河流岸边的图像。图像中存在一处关键篡改区域，位于坐标 [20, 320, 130, 360]，内容为车牌“TOBRE”。该车牌在视觉上表现出明显异常：其字符“TOBRE”采用无衬线字体，与经典英国MG车型通常配备的带有衬线或特定风格的复古车牌字体不符；车牌表面缺乏真实金属或塑料材质应有的反光、纹理和磨损细节，呈现为平滑的数字块状；车牌与车头保险杠的连接处过于干净，缺少真实安装时应有的阴影、缝隙或物理接触痕迹，呈现出“漂浮”感；车牌边缘与保险杠的过渡过于锐利，缺乏真实物体在光照下应有的柔和边缘或轻微阴影，表明其可能被后期叠加。从常识判断，经典英国MG车型如MG MGB或MG MGC通常使用符合英国交通法规的特定车牌格式，而“TOBRE”既非标准车牌格式，也非已知的英国车牌序列，严重违背现实逻辑。综上所述，该图像系通过数字手段合成，旨在虚构一个不存在的车辆与场景组合，不具备真实性。"
02e1b37b03284d21b3870210b5abf1dc.jpg,0,"{""size"": [768, 768], ""counts"": ""PPPb0""}","这是一份伪造的银色金属立式自动售货机图像，背景为黄色墙壁，左侧可见部分人物海报。图像中存在三处关键篡改区域：左下角品牌标识 [167, 572, 258, 614] 内容为“spock spsc”；中部操作面板 [256, 262, 356, 358] 显示“Candy”及“Candy”字样；右下角贴纸 [373, 377, 458, 422] 内容为“Candy”及“Candy”字样。这些区域在视觉上表现出异常：品牌标识“spock spsc”中的字母“o”和“c”呈现不自然的蓝色与绿色，与周围银色金属质感不符，且字体风格与常见商业标识差异显著；操作面板和贴纸中的“Candy”文字边缘过于锐利，缺乏真实印刷应有的墨水渗透或轻微模糊，与背景融合生硬，符合数字合成特征；图像整体光照均匀，但篡改区域未体现与周围环境一致的金属反光和阴影，显得平坦；背景黄色墙壁与前景售货机之间存在轻微景深过渡，而篡改区域边缘过于清晰，未融入自然模糊效果。逻辑上，品牌标识“spock spsc”与“Candy”主题严重不符，且“spock”通常指《星际迷航》中的角色，作为糖果品牌极不寻常；操作面板和贴纸重复使用“Candy”字样，属于冗余设计，不符合商业常识。综上所述，该图像系人为合成，可能用于虚构品牌宣传或制造误导性内容。"
02fcd660b3ac41898883373d7391b5c6.jpg,0,"{""size"": [1024, 683], ""counts"": ""PP[e0""}","这是一份伪造的女性人物图像，其中包含篡改的绶带文字。图像中存在两处关键篡改区域：第一处位于坐标 [244, 361, 421, 423]，内容为“ANGEL”；第二处位于坐标 [244, 430, 421, 492]，内容为“EL”。这些篡改文字在视觉上表现出明显异常：文字边缘呈现不自然的锯齿状，与绶带表面应有的平滑质感不符；文字颜色过于均匀，缺乏与绶带材质相匹配的光影变化和纹理融合；文字区域的像素噪声模式与周围绶带背景存在差异，显示出典型的“擦除-粘贴”痕迹；此外，文字与绶带的交界处缺乏自然的光影过渡，显得生硬。从常识判断，将“ANGEL”与“EL”组合成“ANGEL EL”作为选美赛事的绶带文字不符合常规命名逻辑，且该组合在公开资料中无对应赛事记录，属于无意义的拼接。综上所述，该图像系人为伪造，可能用于制造虚假身份或误导性信息。"
0335625a3dd241469e5f3b27033cc4c2.jpg,0,"{""size"": [480, 640], ""counts"": ""PP\\9""}","这是一份伪造的户外场景图像，展示了一个带有蓝色信息牌和白色建筑的区域。图像中存在两处关键篡改区域，其坐标与内容分别为：[113, 116, 145, 129] 处的“VLORE”和 [113, 133, 145, 146] 处的“BORSH”。这些篡改文字在视觉上表现出明显异常：字体风格与原始文本不一致，显得更为规整和现代；文字边缘异常锐利，缺乏真实拍摄中应有的自然模糊或抗锯齿效果；文字颜色过于均匀，缺少真实图像中因光照和材质影响产生的细微变化；文字与背景之间的过渡生硬，缺乏自然融合的阴影或纹理交互；篡改区域的像素噪声模式与周围原始区域存在差异，显得过于干净或平滑。从常识判断，该图像呈现的场景与信息存在矛盾：信息牌上列出的“VLORE”、“BORSH”等名称均为真实存在的地名，但“VLORE”作为阿尔巴尼亚主要城市，其名称在信息牌上重复出现且未标注具体含义，不符合常规信息牌的命名逻辑；信息牌上列出的多个地名与建筑上方的“GOMISTERI”招牌之间缺乏明确的地理或功能关联，无法合理解释为何一个信息牌会同时包含如此多的地点名称，且这些地点与“GOMISTERI”之间缺乏逻辑联系。综上所述，该图像系人为伪造，可能用于虚构场景或误导性展示。"
