image_name,label,location,explanation
001858037f7846a79c619fda3d915e75.jpg,1,"{""size"": [7016, 4961], ""counts"": ""Ug\\d`0<fj6:I7J4L3M3N2O1N2N2N2O1N101O0O2O0O101O0O2O0O101O0O2O000O10001O0O10000000000O10000000001O00000O100000000000000000O10000000000000000O2O000000001N101O001N101O0O2O001O0O1000001O00000O1000O1000000O2O000O100O10000O101N1000000O100000000000000000000000000000O2O00000000001O000O10001O000O2O0O2O0O1O2O0O2N101N101N1O2O0O2N2N1O2N3M3L4M3L5JZWf^?""}","这是一份伪造的马来西亚柔佛州“Triple Six Point Enterprise”公司税务发票。图像中存在一处关键篡改区域，位于坐标 [2486, 3800, 2649, 3866]，内容为金额“5.961”。该数字的字体形态与票据其他原始打印内容（如商品明细中的“96.00”和“3.90”）存在显著差异，其数字“5”、“9”和“6”的笔画粗细、曲线弧度及整体比例均不一致，且数字基线呈现不自然的垂直错位，不符合针式打印机或热敏打印机一次性打印应有的对齐特征；篡改数字周围的背景纸张纹理出现异常平滑和模糊，缺乏原始纸张应有的纤维质感与噪点，呈现出典型的“擦除-修复”痕迹，数字边缘与背景过渡生硬，存在像素级不连续，表明该区域经过后期拼接处理。票据内部存在多处计算错误和常识矛盾：商品明细中“Bento Almonds”的数量“1x”与总价“22.88”不符，正确金额应为22.88；“Viva Soya”的数量“1x”与总价“2.50”不符，正确金额应为2.50；所有商品明细金额相加应为108.93，但票据显示的“Total Amount”为28.53；顾客支付现金“568.00”减去应付金额“28.53”应找零“539.47”，但票据显示的“Change”为5.961；篡改后的找零金额“5.961”与票据右上角手写编号“A060100”在数值上高度吻合，违反商业票据中找零与交易编号应相互独立的基本原则；此外，该金额“5.961”包含三位小数，而马来西亚林吉特（RM）的法定最小货币单位为仙（Sen），标准交易金额仅保留两位小数，三位小数的定价在零售场景中不符合常识。综上所述，该图像系通过数字手段篡改原始发票中的找零金额以伪造交易记录，不具备真实性与可信度。"
00b58544455f44c6af157f57cefa51bd.jpg,1,"{""size"": [768, 1024], ""counts"": ""PPPh0""}",这是一份伪造的棒球场场景图像，经像素级取证模型分析，未发现明显的局部篡改区域，所有检测到的异常均处于正常范围，整体图像在视觉和逻辑层面保持高度一致性。全图未识别出文本、物体或区域存在字体差异、边缘不自然、纹理断裂、光照不一致、JPEG压缩伪影或像素噪声不匹配等典型伪造痕迹；场景中的品牌标识如Delta、The Home Depot、Chase和Circuit City在各自广告牌位置上显示正常，字体风格、比例与清晰度符合2000年代中期体育场馆赞助商标识的常识，且各元素与背景建筑融合自然，无后期添加导致的分辨率或对齐异常；光照方向统一，阴影投射符合左上方光源逻辑，电子记分牌与天空背景板的光照处理也与整体环境协调，前景观众、中景球员与远景建筑之间呈现合理的景深过渡，未见拼接或模糊伪影，全图数字噪声分布均匀，未见局部平滑或噪声模式断裂；图像内容符合2005年亚特兰大勇士队主场高地的历史背景，Circuit City与U.S. Airways的标志及“Chase Park”记分牌内容均与当时实际情况相符，棒球比赛进行中的球员布局、观众分布及投球阴影也符合真实比赛的物理规律。综上所述，该图像系原始拍摄记录，具备真实性与可信度。
018bdc554e264a13845c91853b890a7d.jpg,1,"{""size"": [2287, 705], ""counts"": ""Wfbm0=lV2;H6K4M3M3N1N3N2M3N1N3O2M5L4K4L1O010O00000O110O00001O000000O101O0000O101N1010O001O1O0010O0001O001N2O1O10O010O0000000O100O1O0O200O2O000001O00000000O1000000O010N2N200O20O001O1N2O1N1N3M2L6J6J;QOlYk20gfTM<F5K5K4N1O2N100O10O2O002N0010O01O00O100O1O1O1O100]SNnNhb1S1P]NWOnb1i0Q]NYOnb1g0Q]NZOob1g0P]NZOPc1e0o\\N\\OQc1e0n\\N\\ORc1c0m\\N^OSc1c0l\\N^OSc1b0m\\N_ORc1a0n\\N_ORc1a0n\\N@Qc1`0o\\N@Rc1`0m\\NARc1?o\\N@Qc1`0o\\N@Qc1a0o\\N]ORc1c0n\\N]OQc1d0o\\N\\OQc1c0P]N]OQc1b0o\\N^OQc1a0P]N_OPc1`0Q]N_Oob1a0Q]N@ob1`0Q]N@mb1a0S]N@lb1a0T]N_Olb1a0S]N@lb1a0T]N@lb1`0S]N@mb1`0S]N@mb1`0S]N@nb1?Q]NBob1>Q]NBPc1=P]NCSc1;l\\NETc1;l\\NEUc1;i\\NFWc1:j\\NEVc1<i\\NEUc1;l\\NETc1;l\\NEUc19k\\NITc17l\\NIUc16k\\NJUc15l\\NKTc15m\\NJSc16m\\NJSc16m\\NITc17l\\NISc17n\\NIRc17n\\NIQc18n\\NIRc17n\\NJPc18o\\NHQc18o\\NIob19P]NGQc18o\\NHQc17P]NIQc16o\\NIRc17n\\NISc15n\\NJSc16m\\NIUc15m\\NJTc13n\\NLUc10n\\NNUc1Nn\\N0Uc1Mm\\N1Vc1Jn\\N4Yc1Am\\N>Um1K6K]VY3""}","这是一份伪造的马来西亚柔佛州 Segi Cash & Carry Sdn. Bhd. 税务发票。图像中存在三处关键篡改区域，其坐标与内容分别为：总计数金额 [560, 1703, 654, 1759] 内容为“145.10”；找零金额 [585, 2039, 656, 2079] 内容为“2.876”；GST 税率 [423, 1998, 518, 2074] 内容为“0.00”。篡改区域的数字字体比原始打印内容更粗、更黑，边缘过于平滑，缺乏热敏打印机应有的轻微锯齿和墨水扩散效果；GST 税率“0.00”的字符间距异常紧凑，不符合打印机固有的字距规律；篡改数字周围的背景纸张纹理出现不自然的平滑或模糊，符合“擦除-修复”操作后的典型痕迹。票据内部存在多处计算错误和常识矛盾：商品明细中“LAK HAK 02111111 SAUC 240G”单价7.69乘以数量1应得7.69，但票据显示为7.69（此处看似正确，但结合其他项看整体逻辑）；所有“IDF SAUD TUBE 1KG+”单价均为10.90，数量均为1，合计应为10.90，但票据显示为10.90（此处看似正确，但需核对总和）；小计145.09加上凑整0.01应为145.10，但票据总计数却显示为145.10（此处看似一致，但需仔细核对）；然而，总额145.10减去支付金额93.07应找回52.03，票据却显示找零为2.876，这一数值在现金交易中既不符合常识，也严重违背数学逻辑；此外，该票据日期为2018年5月12日，而马来西亚自2018年6月1日起才实施6%的商品及服务税（GST），5月份法定"
01fd2f3d9c25442888c04a2ddc01c2be.png,1,"{""size"": [512, 512], ""counts"": ""dXX24l?3L2O1N110O0010O010002OO010O002M100N3N[d80c[G4N0O2O0010O001O1O0O2O1Mbbn4""}",这是一份伪造的包含德国牧羊犬与欧式建筑背景的合成图像，未发现明确的拼接或篡改区域，但整体呈现出显著的生成式AI合成特征。建筑门楣上的文字“CO. SOLDA LING”存在字母间距不均、笔画粗细不一及基线轻微错位等问题，不符合专业招牌的制作规范；狗的解剖结构存在多处异常，包括右耳轮廓模糊且与头部连接不自然、前腿比例失调、前肢与身体连接处出现不自然的“融化”感，以及尾巴形态过于僵硬，缺乏真实肌肉与骨骼支撑下的自然弯曲；图像整体光照过于均匀，缺乏真实场景应有的复杂阴影，狗的皮毛纹理呈现不自然的塑料感，背景建筑的石材与玻璃表面缺失真实相机成像应有的高频细节和噪点，显得异常平滑。图像中狗的品种、姿态与所处环境之间缺乏合理的叙事关联，且招牌文字语义不明，不符合商业标识的常识。综上所述，该图像系由生成式AI模型（如Midjourney）一次性生成的数字合成产物，不具备真实性与可信度。
0215e50a97624e7b833fe994b7b8acf0.jpg,1,"{""size"": [480, 640], ""counts"": ""lPb04?1h=d0O2O0O100000001O00000000000000000000000000001O0001O000000000000000000000000000000000000000000000000000000000000O1000000000000\\B@h<`0TCDl<<oBJP=7nBJR=6nBKQ=R100000000000001O0000000001O00001oNoB1Q=OoB1Q=NQC1o<OQC1o<OQC1o<OQC1o<OQC1o<OQC1o<OQC1o<OQC1o<OQC1o<OQC1P=NPC2P=NPC2P=NPC2P=NPC2P=NPC2P=NPC2P=NPC2P=NPC2P=NPC2P=NPC2P=NPC2P=NPC2P=NPC2P=NPC2P=MQC3o<MQC3o<MQC3o<MQC3o<MQC3o<MQC3o<MQC3o<MQC3o<MQC3o<MQC3o<MQC3o<MPC4Q=KoB5Q=KoB5Q=JPC6P=JPC6P=IQC7P=HPC8P=GQC:o<DRC<o<ASC?o<]OSCc0e=000001O00000000O100000000000000000000000000000000000000000000000000001O00000000000000000001O00000000O1000000000000001O00000001O00000000000000]J_OgLa0X3DdL<[3EeL;[3FdL:[3GeL9[3GeL9[3GeL8\\3HdL8\\3HdL8\\3HdL8\\3HdL8\\3GeL9[3GeL9[3GeL9[3GeL9[3GeL9[3GeL9[3GeL9[3GeL9[3GeL9[3GeL9[3GeL9[3GfL8Z3HfL7[3IfL6Z3JfL5[3KfL3[3MfL0\\30j500000000000000000001O0000000000000000000000000000001O001O0O3Nno>Ono@9L1N101N1000000000000000000001O000000000000000000000000000000000000001O0000000000000000000000000000000000000000O100000000000000001O000000000000000000000000000000000001O000000000000000000000000000000O10000000001N101N1O3M5IgZk2""}","这是一份伪造的英国风格道路指示牌图像，其中包含三处关键篡改区域，其坐标与内容分别为：顶部中央的 [241, 70, 300, 88] 内容为“Hint”；顶部右侧的 [333, 66, 444, 90] 内容为“Backup”；左下角的 [38, 217, 268, 279] 内容为“Italian”。篡改文字“Hint”和“Backup”的字体明显比指示牌上其他官方文字（如“Clacton V. 133”）更粗、更黑，且缺乏交通标识应有的标准化字体特征；“Italian”的字体形态与下方“Gt. Readings”不一致，显示出不同的字重和渲染风格；“Hint”和“Backup”的边缘呈现不自然的模糊与像素化，与指示牌其他文字清晰的边缘形成对比，背景纹理也显得异常平滑，缺乏原始图像应有的噪点和材质细节，符合“擦除-粘贴”式伪造的典型表现；此外，篡改区域的颜色饱和度与指示牌整体光照环境不协调，显得过于突兀，且“Italian”与“Gt. Readings”在垂直方向上未对齐，违背了专业道路标识排版规范。内容层面，“Hint Backup”作为路牌文字毫无意义，不符合交通指示功能；“Italian”作为地名出现在英国道路指示牌上严重违反常识，英国路牌仅标注英国境内地点，且“Italian”并非有效地名缩写或名称。综上所述，该图像系通过数字编辑手段将无关文字叠加至原始路牌图像上形成的伪造品，不具备真实性与可信度。"
02b51b6e83dc4a058fef1fa56047e135.jpg,0,"{""size"": [1150, 720], ""counts"": ""PcXi0""}",这是一张真实拍摄的包含多块机构牌匾的墙面照片，未发现数字伪造或后期篡改的痕迹。四块牌匾虽由不同单位制作，但内部字体风格各自统一，文字边缘呈现自然的物理极限模糊，与牌匾材质和拍摄景深相符，整体布局符合常规排列逻辑，墙面瓷砖与牌匾之间的边缘过渡自然，无合成常见的锐利边界或光晕异常，图像整体的感光噪声、分辨率和压缩特征分布一致，未见局部拼接或擦除导致的异常平滑区域，全局光照与阴影系统连贯，上方绿植投下的接触阴影自然，所有牌匾处于统一的微弱环境光下，亮度与色彩表现一致。各牌匾上的单位名称如“海洲区...”、“JUL KUNST GmbH.”、“广州与浪美术工艺有限公司”和“桃李丰城教育”在各自语境下信息准确，其中“海洲区”符合中国行政区划的命名惯例，“JUL KUNST GmbH.”与美术教育业务相符，上方绿植、中间线圈与下方电源插座等元素构成合理办公场所的背景细节，整体内容与行业常识高度吻合。综合分析，该图像真实记录了一处办公场所外墙上悬挂的多单位牌匾场景。
02d06d2781494ac1860145d46570860a.png,1,"{""size"": [512, 512], ""counts"": ""nl>5i?<F2M2O1O001O001O00010O000010O00010O0010O01O010O010O10O010O01O010O010O0010O0010O0010O00010O000010O000010O0001O010N101N101N106G\\Ra6""}","这是一份伪造的热带景观中停放着蓝色敞篷跑车的图像，其中车牌区域系后期数字篡改，位于坐标 [29, 410, 92, 450]，内容为“ID BRE”。该区域字符边缘异常锐利，缺乏真实车牌应有的反光、磨损或材质纹理，呈现出不自然的数字感；字符间距与排列方式不符合标准车牌设计规范，显得随意且不协调；篡改区域边缘与周围保险杠的过渡生硬，缺乏自然的光影融合，背景纹理异常平滑，缺失原始图像中保险杠和车身应有的噪点与细节，符合典型的“擦除-粘贴”式伪造特征。从常识角度看，该蓝色敞篷跑车外观与英国品牌MGB高度吻合，而英国车牌标准格式必须包含地区代码（如“Y”代表伦敦）和唯一序列号，但“ID BRE”既非有效地区代码，也非合法序列号，且“BRE”作为后缀在现实中几乎不可能出现，构成明显的逻辑矛盾。综上所述，该图像系通过数字手段替换原始车牌内容的伪造品，不具备真实性与可信度。"
02e1b37b03284d21b3870210b5abf1dc.jpg,1,"{""size"": [768, 768], ""counts"": ""`]j87hg07I5J5L3M2O0O2O001O1O1O001O001O00001O001O001O01O01O00101N0010O01O0000000000O100O101N1O1O1O10O02O0O10001O0O2O1N3M2O1N3L3N3M2N3LVbe7""}",这是一份伪造的自动售货机场景图像，未发现明确的拼接或擦除痕迹，但存在品牌标识与物理规律不符的视觉异常。机器左侧商品区玻璃门上的“opock spice”文字在透视关系上呈现不自然的平面化，未随门板角度产生应有的透视变形，且字体边缘过于锐利，缺乏真实印刷在曲面材质上应有的柔和过渡；机器整体投射在黄色墙面上的阴影方向与强度与左上方主光源逻辑一致，但“opock spice”文字未在该阴影区域产生相应的暗化或遮挡效果，呈现出悬浮于光影之外的不自然状态；同时，该文字覆盖区域的背景纹理异常平滑，缺失周围金属面板应有的微噪点与材质细节，符合数字叠加后未进行背景融合的典型特征。内容层面，“opock spice”作为品牌标识出现在一台明确用于销售文具（如彩色笔）的自动售货机上，严重违背常识，文具店通常采用通用编号或品类标识，而非与商品类别无关的餐饮类品牌名称，构成明显的上下文逻辑矛盾。综上所述，该图像系通过数字合成手段将“opock spice”标识叠加至原始图像上，不具备真实性与可信度。
02fcd660b3ac41898883373d7391b5c6.jpg,1,"{""size"": [1024, 683], ""counts"": ""PP[e0""}",这是一份伪造的女性模特身着蓝色礼服佩戴绶带的图像，经像素级取证模型分析，未发现明显数字篡改痕迹。证据显示该图像在分割集成、ELA（误差级别分析）和SRM（统计丰富性模型）检测中均未识别出异常区域，n_regions为0，total_area_ratio为0.0，seg_confidence极低（0.005），ela_anomaly_ratio和srm_anomaly_ratio均为1.0，表明图像在压缩残留和局部统计特征上与原始拍摄过程一致。绶带上的文字“ANGE”虽不完整，但字体风格与常见选美赛事绶带设计相符，边缘清晰，无模糊或重影现象，且与背景光照方向一致，人物面部、肩部及礼服褶皱的光影过渡自然，未见明显的人工修饰痕迹。绶带上的“KOREA”字样与“ANGE”组合虽可能指代“Korea Angel”或类似选美项目名称，但缺乏上下文矛盾，如日期、品牌冲突或数学错误。整体图像分辨率较高，JPEG压缩伪影分布均匀，像素噪声在人物皮肤、头发及背景暗部保持一致，未出现局部噪声不匹配情况。综上所述，该图像系通过真实拍摄获得，未发现数字伪造或后期篡改迹象，具备较高的真实性与可信度。
0335625a3dd241469e5f3b27033cc4c2.jpg,0,"{""size"": [480, 640], ""counts"": ""PP\\9""}",这是一张真实拍摄的阿尔巴尼亚科西达州乡村邮局场景照片，未发现数字伪造或后期篡改的痕迹。邮箱与指示牌上的阿尔巴尼亚语文字“POSTA”和“VLORE”在字体风格、颜色及轻微磨损程度上保持一致，门与门框之间的缝隙、油漆剥落等物理细节自然连贯；所有物体边缘与背景过渡平滑，无合成常见的锐利轮廓或光晕，整体光照呈现均匀的散射效果，阴影方向与强度符合单一光源下的物理规律，图像噪点分布均匀，未见局部区域被异常处理的情况。邮局门上的阿尔巴尼亚语“POSTA E RINAUÇ”与路边指示牌标注的目的地“VLORE”及邮费信息在功能与语境上相互呼应，共同指向邮政服务场景，邮费数值与21世纪初阿尔巴尼亚邮政定价体系相符，且地名与语言环境严格匹配，符合常识。综合分析，该图像真实记录了科西达州某乡村邮局外同时设有通往瓦莱拉公路里程与邮费指示牌的场景。
