image_name,label,location,explanation
001858037f7846a79c619fda3d915e75.jpg,0,"{""size"": [7016, 4961], ""counts"": ""XcVVQ1""}","这是一份伪造的马来西亚商家“Triple Six Point Enterprise”的收据图像，其中篡改区域位于坐标 [314, 341, 372, 354]，内容为“Hwa Tai Luxury”。该区域的字体风格与收据其他部分存在显著差异，其笔画更粗、字形更圆润，不符合收据上“Hey Song”、“Japan green Tea”等商品名称所使用的标准打印字体；篡改区域的边缘呈现不自然的锯齿状，与周围文字平滑的打印边缘形成鲜明对比，表明其可能经过数字擦除和重新合成；该区域的背景纹理与周围纸张的纤维结构不连续，呈现出明显的断裂感，符合图像拼接的典型特征；篡改区域的光照和阴影模式与收据整体一致，但其像素噪声模式与周围区域存在细微差异，暗示其可能源自不同的图像源或经过独立处理；该区域的JPEG压缩伪影模式与周围区域不一致，表明其可能经过了额外的图像处理步骤。在逻辑层面，收据中“Hwa Tai Luxury”作为商品名称出现在“Hey Song”和“Japan green Tea”等真实商品之间，但该名称未在收据的其他部分出现，且其字体风格与收据整体风格不符，不符合正规商业收据的排版规范；收据中“Hwa Tai Luxury”所对应的价格为3.90，但其数量为1，计算得出的金额为3.90，与收据中列出的“3.90”一致，未发现数学计算错误；收据日期为2018年4月23日，属于合理的时间范围，未发现日期异常；“Hwa Tai Luxury”作为商品名称在收据中出现，但该名称在马来西亚或国际上并非知名或广泛存在的品牌，缺乏可信度。综上所述，该图像系人为伪造，篡改者可能意图通过添加虚构商品来虚构交易记录或掩盖真实消费内容。"
00b58544455f44c6af157f57cefa51bd.jpg,0,"{""size"": [768, 1024], ""counts"": ""PPPh0""}",这是一份真实拍摄的棒球场照片，未发现数字伪造或后期篡改的痕迹。图像中的字体、边缘、纹理和光照均表现出高度的一致性，符合真实拍摄的特征；JPEG压缩伪影在整个图像中分布均匀，没有局部异常；图像中的品牌标志、日期和数值计算均符合常识，未发现逻辑矛盾。综合分析，该图像是一份真实记录。
018bdc554e264a13845c91853b890a7d.jpg,0,"{""size"": [2287, 705], ""counts"": ""_aVa1""}","这是一份伪造的马来西亚“Segi Cash & Carry Sdn. Bhd.”购物小票图像，其中关键财务数据被篡改。篡改区域位于坐标 [113, 111, 125, 117]，内容为“145.10”，该区域字体明显比周围“Total Incl. GST”文本更粗，边缘呈现不自然的锯齿状，与原始打印文字的平滑过渡不符；该区域背景纹理出现断裂，与周围连续的纸张纹理不融合，且JPEG压缩伪影模式与相邻未篡改区域存在差异，表明该区域可能经过独立处理或覆盖。图像中存在两处关键逻辑矛盾：其一，根据商品明细计算，小计应为145.09，四舍五入后“Total Incl. GST”应为145.10，但“GST Summary”部分显示Z税（0%）金额86.53与S税（6%）金额89.07之和为175.60，远超总金额145.10，违反基本会计恒等式；其二，支付金额与找零计算矛盾，若支付金额为145.10且总金额为145.10，则找零应为0.00，但图像中“Change”显示为0.00，而“Master”后跟随一串数字，暗示存在未记录的支付方式，导致支付金额与找零无法对应。综上所述，该图像系人为伪造，旨在虚构交易金额以掩盖真实消费记录。"
01fd2f3d9c25442888c04a2ddc01c2be.png,1,"{""size"": [512, 512], ""counts"": ""PPP8""}","这是一份伪造的街景照片，其中一只狗站在一家店铺前。图像中存在一处关键篡改区域，位于坐标 [132, 271, 277, 337]，内容为“COSSAULDALING”。该区域的字体风格与店铺招牌上其他文字存在明显差异，笔画粗细不均，缺乏统一的设计感；篡改区域的边缘异常平滑，与周围建筑石材的自然纹理和噪点分布不一致，呈现出典型的“剪切-粘贴”痕迹；该区域的光照和阴影与整体场景不符，显得过于均匀，缺少真实环境光下的立体感；JPEG压缩伪影在篡改区域附近更为密集且分布不均，表明该区域可能经过独立的图像处理。此外，“COSSAULDALING”并非已知的商业品牌或常见店铺名称，不符合现实中的商业逻辑。综上所述，该图像系人为伪造，可能用于虚构场景或误导性宣传。"
0215e50a97624e7b833fe994b7b8acf0.jpg,1,"{""size"": [480, 640], ""counts"": ""]kd05g>5COiA1W>=N10BkA0W>OPBJP>1cPg06ioXO1N110O05J2O0010O001O1O1N2O2M3KHeA1[>OfA1X>NkA0W>NlA0T>0c`f05d_YO4M2N101N10CjA1T>0nAMT>1mAOS>1nAMR>5lAMS>3mAMS>5jAMU>?O100O11N108@T[2<hdM0O2O01N10oZ21odM101N10O100L4O100O11O005K0010O001N2O6E5N3OO011M2M5]AIW>;gAEY>b0N100O01@kA5U>KkA4V>KlA4T>MjA5V>JjA6U><0OO10O101@hA5Y>KgA4h>I201N11N101N1010O001N10a\\a5""}","这是一份伪造的交通指示牌图像，其中包含多处人为添加的文字，旨在误导或混淆观众。伪造区域位于图像中部左侧区域，覆盖约4.7%的画面，其坐标为 [104, 193, 367, 231] 和 [104, 242, 367, 279]。该区域包含“Clacton V. 133”和“Gt. Readings”两行文字，其字体风格、字重和字符间距与图像中其他部分如“Harwich”明显不同，显示出不一致的排版风格；篡改区域的边缘过于平滑，缺乏真实拍摄中应有的自然模糊或抗锯齿效果，呈现出“剪切-粘贴”的特征；在纹理方面，篡改区域的背景噪点模式与周围区域不一致，显得过于干净，这可能是由于图像编辑软件在处理时未正确继承原始图像的压缩噪声；光照方面，篡改文字的亮度和对比度与周围环境不协调，显得过于均匀，缺乏真实场景中的自然光照变化；在JPEG压缩伪影方面，篡改区域的块效应和压缩痕迹与原始图像的其他部分存在差异，表明其可能来自不同的图像源或经过了不同的处理流程。在交通标志中，地名与编号的组合必须符合官方标准，例如“Clacton V. 133”中的“V.”不符合英国国家公路编号的规范，而“Gt. Readings”中的“Gt.”是“Great”的缩写，虽然常见，但与“Clacton V. 133”这种非标准格式并列，显得不合逻辑；此外，图像中同时出现“Harwich”和“worked”等无关词汇，严重破坏了交通标志应有的信息准确性，表明这些内容可能是为了掩盖原始信息或制造误导而添加的。综上所述，该图像系人为伪造，篡改者可能意图通过添加不相关或误导性信息来混淆或误导观众，使其无法准确识别交通标志的真实内容。"
02b51b6e83dc4a058fef1fa56047e135.jpg,0,"{""size"": [1150, 720], ""counts"": ""PcXi0""}",这是一份真实拍摄的物理场景图像，未发现数字伪造或后期篡改的痕迹。所有文字均采用统一的无衬线字体，字形、粗细和间距一致，符合标牌印刷的规范；文字边缘与背景过渡自然，无锯齿或模糊，符合物理标牌的成像特征；墙面大理石纹理在文字周围连续，未出现断裂或异常平滑区域，表明文字是直接印刷在标牌上的；整体光照均匀，文字亮度与背景一致，符合单一光源下的自然成像；JPEG压缩伪影分布均匀，文字区域和背景区域的块状伪影程度一致，符合原始图像经过相同压缩处理的特征；所有机构名称和地址均符合中国常识，如“海珠区”是广州的行政区划，“JUL KUNST GmbH”是德国公司，其广州办事处名称合理，且“广州与浪美术工艺有限公司”与“JUL KUNST GmbH”存在业务关联，符合商业逻辑。综上所述，该图像真实记录了一个物理场景，未发现伪造痕迹。
02d06d2781494ac1860145d46570860a.png,1,"{""size"": [512, 512], ""counts"": ""PPP8""}","这是一份伪造的蓝色经典敞篷跑车图像，其中车牌区域被篡改。篡改区域位于坐标 [24, 528, 108, 562]，内容为“TOBRE”。该区域使用无衬线字体，与车辆前脸“MG”标志所使用的衬线字体风格明显不同；车牌文字边缘呈现不自然的锯齿状，缺乏真实车牌应有的平滑过渡；车牌区域的纹理与车身漆面不连续，车身表面有自然的光泽和反光，而车牌区域显得过于平坦，缺乏应有的材质细节；车牌文字与背景之间的过渡生硬，缺乏真实拍摄中应有的光学融合效果，边缘过于锐利，不符合物理成像规律；车牌区域的光照与车身不一致，车身在阳光下有自然的高光和阴影，而车牌区域亮度均匀，缺乏环境光反射，显得过于平坦；此外，车牌区域的JPEG压缩伪影比车身区域更明显，表明该区域可能经过独立的图像处理。车牌文字“TOBRE”并非英国或国际标准车牌格式，且该品牌名称与车辆品牌“MG”无关联，不符合常识。综上所述，该图像中的车牌文字“TOBRE”系后期数字添加，不具备真实性。"
02e1b37b03284d21b3870210b5abf1dc.jpg,0,"{""size"": [768, 768], ""counts"": ""PPPb0""}","这是一份伪造的自动售货机图像，其中左下角区域存在数字篡改痕迹。篡改区域坐标为 [130, 655, 215, 700]，内容为“spock”和“spoc”两个单词。该区域的字体风格与上方贴纸使用的字体明显不同，前者更为方正，后者则更为圆润；篡改文字的边缘过于锐利，缺乏自然的抗锯齿效果，与周围环境的柔和过渡形成对比；篡改区域的背景纹理过于平滑，缺乏周围金属表面应有的细微噪点和纹理变化，呈现出“补丁”效应；篡改文字的亮度和阴影与周围环境不一致，显得过于均匀，缺乏与环境光的自然交互；在JPEG压缩伪影方面，该区域的压缩块效应比周围区域更明显，表明该区域可能经过了独立的压缩处理。虽然图像中的品牌信息如“spock”和“spoc”在现实中可能存在，但它们在同一个贴纸上的并列出现显得突兀，不符合常见的品牌标识逻辑。综合以上分析，该图像中的左下角区域存在数字伪造痕迹，篡改内容为“spock”和“spoc”两个单词，其坐标为 [130, 655, 215, 700]。"
02fcd660b3ac41898883373d7391b5c6.jpg,1,"{""size"": [1024, 683], ""counts"": ""PP[e0""}","图像中存在一处关键篡改区域，其坐标为 [273, 657, 623, 777]，内容为白色大写字母“ANGEL”。该区域在视觉上表现出显著异常：字体风格与绶带其他部分（如“S”和“L”）不一致，呈现出不同的字重和衬线细节，不符合同一品牌或赛事绶带应有的统一设计规范；字母边缘过于平滑，缺乏真实印刷品应有的墨水渗透或纸张纹理，呈现出典型的“剪切-粘贴”效果；在光照方面，“ANGEL”文字区域的亮度和阴影与绶带其他部分不一致，显得过于均匀，缺乏环境光的自然交互，表明其可能来自不同的光照条件或后期添加；从压缩伪影来看，该区域的JPEG块效应比周围区域更明显，且噪点分布不均匀，这通常是图像编辑软件在处理不同来源内容时留下的痕迹。在逻辑层面，“ANGEL”作为参赛者姓名与“S”和“L”所代表的赛事或组织名称之间缺乏明确关联，不符合国际选美赛事中常见命名惯例，例如“Miss Universe”或“Miss World”等，这种命名方式显得突兀且缺乏常识。综上所述，该图像中的“ANGEL”文字系后期添加，不具备原始真实性。"
0335625a3dd241469e5f3b27033cc4c2.jpg,0,"{""size"": [480, 640], ""counts"": ""PP\\9""}",经过对图像的全面分析，未发现数字伪造或后期篡改的痕迹。两块标牌上的文字使用统一的无衬线字体，虽部分字母存在轻微变形，但这是由标牌本身的磨损和风化造成的自然现象，而非后期编辑所致。文字边缘与背景的过渡自然，未出现锐利切割或模糊羽化等异常效果，符合户外标牌在自然光照下的成像特征。标牌表面的纹理，包括油漆剥落和锈迹，呈现出连续的、符合物理规律的分布，未发现因拼接而产生的纹理断裂或重复。整个场景的光照来自左上方，阴影方向和强度在标牌、建筑和植被上保持一致，符合单一光源下的物理规律。JPEG压缩伪影在整个图像中均匀分布，包括标牌文字和背景，未出现局部区域的异常压缩痕迹，表明图像在压缩和保存过程中未经历多次编辑。标牌上的数字与地名一一对应，例如“Vlore”对应96，“Borsh”对应96，这些数字在地理或行政语境中具有合理性，未发现数学计算错误。标牌上的日期“1996”符合历史背景，且“GOMISTERI”作为品牌名称在相关领域存在，未发现虚构或矛盾的信息。综上所述，该图像在视觉特征和信息内容上均表现出高度的一致性和合理性，未发现数字伪造的痕迹。
0400ea2d65404173af8341410587e249.jpg,1,"{""size"": [1856, 2784], ""counts"": ""PPfm4""}","这是一份伪造的意大利街道标志图像，其中“FULVIO TESTI”文字系后期添加。篡改区域位于坐标 [144, 512, 903, 664]，内容为“FULVIO TESTI”。该文字采用无衬线字体，与上方“VIALE”所使用的衬线字体存在明显差异，且“FULVIO”与“TESTI”之间的基线对齐不一致，不符合专业标识制作规范；文字边缘呈现异常平滑，缺乏与背景混凝土表面自然交互产生的微小像素级过渡，边缘过于锐利，疑似通过擦除原始内容后粘贴新文字实现；文字区域的纹理与背景混凝土的颗粒感不协调，呈现出“浮于表面”的视觉效果；篡改文字的光照方向与图像整体光源不一致，缺乏与背景环境相匹配的阴影和高光，显得过于平坦；该区域的JPEG压缩伪影模式与图像其他部分存在差异，表明其可能经过独立处理或多次编辑。从常识判断，“VIALE FULVIO TESTI”作为意大利街道名称在逻辑上是合理的，但“FULVIO TESTI”作为人名在意大利语境中虽非罕见，但其与“VIALE”组合的街道命名方式符合意大利城市规划惯例，未发现明显逻辑矛盾。综上所述，该图像系人为伪造，可能用于虚构地点或制造虚假场景。"
04630109324c42f99f75750324a4bf1b.jpg,0,"{""size"": [7016, 4961], ""counts"": ""XcVVQ1""}","这是一份伪造的马来西亚餐厅收据图像，其中关键篡改区域位于坐标 [299, 237, 359, 246]，内容为“Total Amount: $9.20”。该篡改文本采用与收据其他部分显著不同的无衬线字体，边缘呈现不自然的锯齿状，缺乏原始打印应有的墨水扩散或像素级融合，且与背景之间存在轻微的不自然边界，表明其可能经过数字擦除与粘贴。篡改区域的JPEG压缩伪影模式与周围原始文本存在差异，其纹理过于平滑，缺乏与纸张纤维一致的自然噪点，呈现出典型的“补丁”特征。在逻辑层面，收据中存在多处计算错误：菜品“SR 10010000003 - 3 Veg”单价为$4.40，数量为75，其小计应为$330.00，但收据显示为$9.81；菜品“SR 10010000009 - Seafood (M)”单价为$4.80，数量为1，其小计应为$4.80，但收据显示为$4.80，这与原始数据不符；此外，收据中“Total Amount”为$9.20，而“GST @6%”为$0.52，两者相加为$9.72，与“Net Total”$9.20不符，且“GST Summary”中“Amount”为$8.68，与“Total Amount”$9.20不一致，表明存在系统性计算错误。综上所述，该图像系人为伪造，不具备真实性。"
04792ca028594c8f9def92738b3aca9b.jpg,1,"{""size"": [1024, 683], ""counts"": ""Vde96ho03UO0bQO3Xn05dQOLZn08dQOJXn09fQOIXn09hQOGVn0;iQOEVn0=kQOBTn0?mQO_ORn0b0oQO\\ORn0e0mQO\\OQn0e0PROZOPn0f0PRO[Oom03kQO05MPn03lQOO4NPn02mQO12MQn02nQO01NQn03mQO00MTn03mQOOONTn04lQOONNVn03mQO?Tn0AkQO?Un0AlQO=Un0CkQO=Vn0CjQO;Wn0EjQO:Wn0DkQO:Vn0FjQO9Xn0EjQO9Wn0GkQO5Xn0IkQO3Wn0JnQO2Un0Mn0011M2O2N101N101KT1eN>K3N2O0O2OO11O001O01O001iNoRO]OQm0c0oRO\\OTm0a0nRO^O`m04`ROL`m04`ROLam03^ROMcm03]ROMcm03^ROKcm05]ROGhm07Q101IX]b9""}","这是一份伪造的手机通话界面图像，其中联系人姓名“Teisha McCall”系后期添加。篡改区域坐标为 [102, 75, 521, 121]，内容为“Teisha McCall”。该区域字体风格与下方“add call”、“hold”等系统按钮文字存在明显差异，前者采用无衬线字体，而后者为系统默认字体，不符合同一界面应有的视觉一致性；篡改区域边缘过于锐利，缺乏自然的抗锯齿效果，与背景融合生硬，存在纹理断裂现象；该区域亮度和对比度与周围环境不一致，显得过于平滑，缺乏真实图像应有的细节；JPEG压缩伪影在该区域与周围区域存在差异，表明其可能经过独立处理。该联系人姓名“Teisha McCall”与下方“add call”、“hold”等按钮文字在字体风格上存在明显差异，不符合同一系统界面应有的统一性。综上所述，该图像系人为伪造，不具备真实性。"
052b734008414c769ae362ee343bff3a.jpg,1,"{""size"": [640, 480], ""counts"": ""W`i24lc06I3O0O010N010M2N120O020O03NO2OOO2OO01N11N1L6O0O20O005J3N1N101O0O1000O10001O010N104K1I8OO010K6O0O20N10lS3:jkL0O20O0O9H0F;O0O02O0O4N0\\\\OK[c05e\\OK^c03`\\OO_c01a\\OO`c08000O2O0O2O2Me_P5""}","经过对图像的详细分析，该图像被判定为伪造。篡改区域位于图像上方中央，坐标为 [274, 164, 558, 194]，内容为文字“Walls ward”。该区域使用无衬线字体，而邮筒上的其他文字如“ER”和“POST”使用衬线字体，字体风格不一致；篡改文字的边缘过于锐利，缺乏自然的抗锯齿效果，与周围红色背景的融合不自然，呈现出轻微的浮空感；篡改区域的纹理与邮筒表面的金属质感不匹配，显得过于平滑，缺乏应有的噪点和纹理细节；篡改文字的光照与周围环境不一致，没有表现出与邮筒曲面相符的光影变化，显得平坦，而邮筒其他部分的光照则符合环境光源的方向；此外，篡改区域的JPEG压缩伪影与周围区域存在差异，其块状结构更明显，表明该区域可能经过了独立的压缩处理。篡改文字“Walls ward”不符合英国邮政系统中邮筒的标准命名规范，通常邮筒上会标注具体的街道名称或区域代码，而“Walls ward”更像是一个地名，与邮筒的官方标识不符；该文字的字体风格与邮筒上其他官方标识如“ER”和“POST”不一致，破坏了整体的视觉统一性。综上所述，该图像中的“Walls ward”文字系后期添加，不具备原始真实性。"
0531dd5762434cbda3bc0e8e9cc60440.jpg,0,"{""size"": [1080, 760], ""counts"": ""PbQi0""}",经过对图像的像素级分析，未发现任何篡改区域，所有文字元素在视觉特征和信息逻辑上均保持高度一致性。图像中的“歡樂比薩”、“sons”和“屈臣氏”等文字采用统一的无衬线字体，笔画粗细均匀，边缘呈现自然的抗锯齿效果，与背景的物理材质过渡平滑，未见生硬切割或异常光晕。图像整体的JPEG压缩伪影分布均匀，从文字区域到背景墙面均呈现一致的块状结构，表明图像在单次压缩过程中生成，未经历局部编辑。在信息准确性方面，所有文字内容符合商业常识：“歡樂比薩”是合法注册的餐饮品牌，“sons”作为“屈臣氏”的品牌标识部分，与“屈臣氏”共同构成完整的商业名称，且“屈臣氏”作为全球知名零售品牌，其标识在商业场景中广泛存在，符合现实逻辑。综上所述，该图像真实记录了一个实际存在的商业场景。
